,date,source,medium,campaign,cost,impressions,clicks,users,conversions,revenue,conversion_rate,bounce_rate,time_on_site,device_type,browser,satisfaction_score,feedback_score,anomaly_scores,anomaly
17,2021-08-01,instagram,display,new_product_launch,107.8,756,196,13,13,313.93,6.63,93.37,403,Mobile,Safari,3,3,0.11916106576280766,1
18,2022-01-11,youtube,display,brand_awareness,513.12,1177,1069,417,142,978.83,13.28,60.99,169,Desktop,Firefox,4,5,0.12509102294388236,1
19,2022-04-25,direct,social,lead_generation,-803.76,5800,4728,2602,60,753.63,1.27,44.97,376,Desktop,Firefox,4,4,0.10855992215878185,1
20,2022-02-24,youtube,display,summer_sale,2111.52,7810,3984,444,350,593.71,8.79,88.86,123,Mobile,Safari,2,4,0.11211937638735298,1
21,2021-06-12,google,social,lead_generation,761.91,1937,699,500,11,902.44,1.57,28.47,351,Mobile,Chrome,1,5,0.11159480915840325,1
22,2023-07-03,twitter,social,brand_awareness,-167.4,2138,837,448,66,197.43,7.89,46.48,442,Desktop,Firefox,1,5,0.1257625075451616,1
23,2023-05-24,direct,video,summer_sale,-602.88,6550,1256,787,428,474.72,34.08,37.34,281,Desktop,Safari,2,5,0.07851324447092789,1
24,2023-04-13,google,social,lead_generation,5811.48,6939,5381,1157,179,830.7,3.33,78.5,253,Desktop,Chrome,1,5,0.03576465213566615,1
25,2022-06-02,twitter,organic,brand_awareness,378.72,3994,526,32,8,148.4,1.52,93.92,476,Desktop,Chrome,3,5,0.13520200517968806,1
26,2023-04-22,youtube,organic,brand_awareness,1831.5,8321,4070,1065,678,631.05,16.66,73.83,386,Desktop,Safari,2,5,0.11482237958805586,1
27,2022-06-13,facebook,display,new_product_launch,20.36,4452,1018,974,313,384.17,30.75,4.32,319,Mobile,Chrome,4,5,0.14247699453936252,1
28,2022-06-09,instagram,social,lead_generation,193.5,303,258,179,11,722.49,4.26,30.62,201,Mobile,Firefox,5,3,0.09846961525105846,1
29,2023-08-26,newsletter,social,new_product_launch,302.28,7395,916,637,502,581.81,54.8,30.46,469,Mobile,Firefox,5,4,0.09539210902443873,1
30,2024-01-06,youtube,display,summer_sale,-612.0,8235,7650,2616,303,591.84,3.96,65.8,209,Mobile,Safari,1,4,0.09256950210023451,1
31,2021-05-30,newsletter,referral,customer_retention,623.7,8236,1782,906,254,187.02,14.25,49.16,241,Mobile,Firefox,3,5,0.12299172286729831,1
32,2021-03-26,twitter,referral,brand_awareness,94.47,143,141,71,26,864.29,18.44,49.65,198,Mobile,Firefox,4,4,0.10029134055696404,1
33,2021-12-23,linkedin,social,brand_awareness,9036.81,4508,3813,142,83,4.21,2.18,96.28,68,Mobile,Firefox,1,3,-0.027858046734285935,-1
34,2022-03-22,direct,video,brand_awareness,240.9,5994,2190,48,34,726.1,1.55,97.81,127,Mobile,Chrome,1,5,0.13695228655936503,1
35,2021-05-04,google,referral,customer_retention,1717.03,4793,1291,867,549,333.74,42.53,32.84,426,Mobile,Chrome,2,3,0.08697568936614913,1
36,2023-03-10,youtube,social,customer_retention,1218.63,9043,5803,1307,15,219.61,0.26,77.48,461,Desktop,Chrome,1,5,0.08085173600716511,1
37,2022-04-14,google,display,customer_retention,2542.64,9096,1718,213,192,276.52,11.18,87.6,116,Desktop,Firefox,5,5,0.08212283385225982,1
38,2023-04-02,facebook,referral,brand_awareness,21.58,1112,166,80,62,560.38,37.35,51.81,182,Mobile,Chrome,1,4,0.11570747654932162,1
39,2021-05-05,twitter,display,new_product_launch,1905.48,7280,2412,1019,309,927.26,12.81,57.75,162,Mobile,Safari,5,4,0.13633986923611946,1
40,2023-11-17,youtube,organic,brand_awareness,254.8,8062,6370,5591,2565,553.62,40.27,12.23,48,Desktop,Safari,2,4,0.11574025036431163,1
41,2022-12-26,direct,social,customer_retention,620.31,3359,2139,472,341,166.98,15.94,77.93,156,Desktop,Safari,3,5,0.15544059761445267,1
42,2022-01-26,direct,video,new_product_launch,403.26,2392,1551,317,266,768.8,17.15,79.56,65,Desktop,Safari,5,3,0.13020751907759898,1
43,2023-01-23,newsletter,social,new_product_launch,1597.72,3685,2708,2307,687,179.91,25.37,14.81,156,Desktop,Firefox,5,4,0.11924913271428195,1
44,2022-06-12,youtube,display,brand_awareness,-902.72,5338,3472,3312,2891,777.55,83.27,4.61,422,Mobile,Chrome,1,3,-0.017313545465511115,-1
45,2023-11-11,twitter,social,new_product_launch,184.5,2162,1845,140,62,158.6,3.36,92.41,266,Mobile,Safari,1,5,0.13701755149579642,1
46,2023-01-02,instagram,social,customer_retention,573.42,1972,1509,1316,1216,41.54,80.58,12.79,48,Mobile,Firefox,4,3,0.022544012761971044,1
47,2022-06-27,youtube,video,summer_sale,17.24,1568,431,388,95,490.09,22.04,9.98,238,Desktop,Chrome,4,5,0.13073397924525648,1
48,2023-03-03,facebook,social,summer_sale,205.74,1357,1143,74,72,253.59,6.3,93.53,227,Desktop,Chrome,2,4,0.1289415532501253,1
49,2022-10-17,facebook,video,brand_awareness,-194.48,2307,1144,849,89,290.54,7.78,25.79,155,Mobile,Firefox,5,4,0.12410497208914767,1
50,2021-06-18,twitter,display,new_product_launch,586.52,969,946,872,694,707.04,73.36,7.82,412,Mobile,Safari,5,3,0.03093576175371171,1
51,2023-11-27,twitter,referral,brand_awareness,144.55,933,413,321,141,865.11,34.14,22.28,250,Mobile,Safari,1,5,0.10904346238575324,1
52,2023-09-05,direct,social,new_product_launch,385.2,1182,1070,428,112,914.82,10.47,60.0,274,Mobile,Firefox,4,5,0.13154834538998839,1
53,2023-05-10,youtube,social,customer_retention,325.0,748,650,122,96,856.51,14.77,81.23,171,Mobile,Chrome,5,3,0.1153803939951854,1
54,2022-01-16,facebook,social,customer_retention,-372.24,1702,1551,804,710,268.02,45.78,48.16,189,Desktop,Chrome,2,3,0.08843245461679122,1
55,2024-01-03,linkedin,video,brand_awareness,1552.1,2580,913,2,1,135.86,0.11,99.78,383,Desktop,Chrome,3,4,0.0953798549052815,1
56,2024-01-31,facebook,display,new_product_launch,-0.0,6062,2401,1528,618,250.39,25.74,36.36,424,Desktop,Chrome,1,4,0.14658456041903256,1
57,2021-02-21,newsletter,social,customer_retention,75.11,272,203,118,1,745.93,0.49,41.87,108,Desktop,Firefox,1,4,0.096886565764715,1
58,2022-06-20,facebook,social,customer_retention,1080.29,4834,1831,514,336,997.21,18.35,71.93,326,Desktop,Chrome,3,5,0.15188017416963484,1
59,2021-04-03,instagram,referral,customer_retention,400.0,802,625,348,58,595.14,9.28,44.32,167,Desktop,Safari,4,5,0.11486540043933174,1
60,2023-09-20,instagram,referral,brand_awareness,-0.0,9270,3683,9,4,968.11,0.11,99.76,377,Desktop,Safari,2,4,0.07869872085773022,1
61,2023-05-13,newsletter,organic,new_product_launch,241.78,1161,1099,301,204,666.37,18.56,72.61,105,Mobile,Firefox,5,5,0.122332616181338,1
62,2023-08-12,twitter,display,new_product_launch,3085.68,6989,3956,3859,2205,694.98,55.74,2.45,258,Mobile,Firefox,2,5,0.030153627763211732,1
63,2023-08-17,newsletter,social,customer_retention,32.24,2960,104,28,27,293.73,25.96,73.08,160,Mobile,Chrome,1,3,0.12404547943285493,1
64,2023-05-28,linkedin,display,summer_sale,7545.6,5023,4192,3466,202,904.23,4.82,17.32,460,Desktop,Safari,5,5,0.010254554214351397,1
65,2023-09-29,linkedin,organic,brand_awareness,4007.52,3815,2277,763,722,262.07,31.71,66.49,428,Desktop,Firefox,5,4,0.05455055127609576,1
66,2021-03-23,facebook,video,new_product_launch,-43.72,4693,1093,66,3,591.31,0.27,93.96,434,Mobile,Firefox,5,3,0.12261783404845722,1
67,2022-09-06,direct,display,lead_generation,-194.24,6882,4856,4780,2031,845.98,41.82,1.57,352,Desktop,Chrome,4,4,0.11565390226124173,1
68,2022-11-08,newsletter,video,new_product_launch,1622.43,3485,2003,85,53,722.98,2.65,95.76,206,Mobile,Firefox,1,3,0.09749262737488307,1
69,2023-03-05,linkedin,video,new_product_launch,6855.39,8041,3249,2499,554,782.62,17.05,23.08,134,Desktop,Firefox,1,5,0.027714803122436238,1
70,2021-03-27,facebook,organic,summer_sale,0.0,9414,7451,5080,788,329.49,10.58,31.82,149,Mobile,Chrome,5,3,0.0968495720448917,1
71,2022-04-01,facebook,referral,customer_retention,-57.19,3562,301,78,74,349.77,24.58,74.09,303,Desktop,Chrome,4,4,0.13652623364283661,1
72,2021-02-23,instagram,referral,customer_retention,70.77,919,337,106,89,628.92,26.41,68.55,216,Desktop,Safari,4,5,0.11922193971733741,1
73,2022-04-03,twitter,social,summer_sale,115.6,8102,170,12,8,788.32,4.71,92.94,456,Mobile,Chrome,1,5,0.118464421231124,1
74,2023-06-14,direct,social,lead_generation,2455.28,5733,5224,2923,142,798.01,2.72,44.05,198,Desktop,Safari,5,5,0.11706469412771109,1
75,2022-04-06,direct,social,customer_retention,-1800.54,9354,4287,3326,1553,991.31,36.23,22.42,223,Mobile,Firefox,2,5,0.0005559424968791804,1
76,2023-10-24,instagram,social,lead_generation,967.12,4617,1099,947,193,405.97,17.56,13.83,172,Mobile,Firefox,2,3,0.12591922201097272,1
77,2021-10-25,direct,display,brand_awareness,-2109.66,9937,5023,2132,779,717.26,15.51,57.56,372,Mobile,Firefox,4,3,0.00013756963388023014,1
78,2021-10-29,twitter,social,summer_sale,5388.46,9758,6998,62,22,725.09,0.31,99.11,370,Mobile,Firefox,4,5,-0.010683276986830914,-1
79,2021-04-01,twitter,social,brand_awareness,2158.45,7360,6167,1333,400,872.39,6.49,78.38,177,Mobile,Firefox,4,4,0.11906778554981812,1
80,2021-09-14,newsletter,referral,summer_sale,3381.98,7509,3451,860,159,375.48,4.61,75.08,211,Mobile,Safari,2,3,0.08955554817525302,1
81,2024-01-08,youtube,social,lead_generation,3472.08,6103,5106,1234,949,494.94,18.59,75.83,445,Desktop,Safari,5,4,0.09860729021085662,1
82,2022-04-05,google,display,customer_retention,233.45,2141,161,132,97,833.36,60.25,18.01,259,Mobile,Chrome,4,3,0.07997727569392676,1
83,2024-01-17,youtube,social,lead_generation,1798.5,7170,5450,1551,69,741.46,1.27,71.54,195,Mobile,Safari,2,3,0.10664150503196657,1
84,2023-03-23,newsletter,video,customer_retention,1780.2,5403,3870,1999,835,198.56,21.58,48.35,259,Desktop,Safari,3,4,0.13650705882929903,1
85,2022-10-10,newsletter,social,customer_retention,1044.63,9707,3869,1717,103,336.64,2.66,55.62,337,Mobile,Firefox,3,3,0.07334301351110384,1
86,2021-08-13,twitter,display,new_product_launch,78.85,421,415,313,243,226.26,58.55,24.58,116,Mobile,Firefox,5,3,0.05605906846628117,1
87,2022-04-16,direct,video,customer_retention,-65.61,2595,729,192,11,758.89,1.51,73.66,188,Mobile,Chrome,3,4,0.12113233531254991,1
88,2023-12-28,google,referral,summer_sale,723.64,4259,916,606,306,17.02,33.41,33.84,438,Mobile,Chrome,1,3,0.1192933135131502,1
89,2023-08-10,newsletter,referral,customer_retention,300.44,6599,2146,441,304,865.86,14.17,79.45,451,Mobile,Safari,3,4,0.1485254401957542,1
90,2021-12-28,direct,organic,new_product_launch,-275.88,1100,836,201,113,736.1,13.52,75.96,267,Desktop,Chrome,3,4,0.11181782986760525,1
91,2023-11-21,facebook,social,lead_generation,-176.88,4356,737,634,9,462.81,1.22,13.98,477,Desktop,Safari,4,3,0.12205502853850148,1
92,2021-11-23,linkedin,display,brand_awareness,2082.08,7693,1352,766,633,603.06,46.82,43.34,333,Desktop,Safari,3,4,0.09997909535870231,1
93,2021-05-27,linkedin,video,new_product_launch,7888.04,3862,3686,2589,356,516.33,9.66,29.76,341,Mobile,Firefox,5,5,-0.023448919691042125,-1
94,2024-01-12,instagram,video,new_product_launch,2943.21,9471,3383,1022,22,402.18,0.65,69.79,470,Desktop,Firefox,4,3,0.0545926926473832,1
95,2023-05-19,direct,organic,customer_retention,-22.05,286,45,21,11,44.67,24.44,53.33,366,Mobile,Safari,2,4,0.10316242770156231,1
96,2023-10-30,facebook,social,brand_awareness,15.17,7810,1517,793,231,653.73,15.23,47.73,85,Desktop,Chrome,3,5,0.12587317714210905,1
97,2023-12-02,direct,referral,customer_retention,-403.5,2049,1345,896,525,468.02,39.03,33.38,156,Desktop,Firefox,5,4,0.10482869482146584,1
98,2023-04-07,youtube,social,customer_retention,853.44,8218,6096,914,269,576.43,4.41,85.01,406,Mobile,Chrome,5,5,0.12160973252911861,1
99,2023-03-29,linkedin,organic,new_product_launch,3961.34,5382,2074,2003,1283,516.59,61.86,3.42,221,Mobile,Firefox,3,3,0.019804310236068323,1
100,2022-08-27,instagram,video,summer_sale,3976.96,6601,6214,1013,663,173.3,10.67,83.7,212,Mobile,Chrome,2,5,0.0874149464110438,1
101,2021-11-04,youtube,social,brand_awareness,-573.82,9029,4414,1891,1321,179.6,29.93,57.16,39,Mobile,Chrome,1,4,0.07253333228526981,1
102,2022-02-27,instagram,display,summer_sale,437.05,9376,8741,4009,2172,619.22,24.85,54.14,323,Desktop,Safari,5,3,0.08252519556196047,1
103,2022-09-17,direct,video,summer_sale,-165.3,7722,570,166,10,623.97,1.75,70.88,346,Mobile,Safari,4,3,0.10665973041624038,1
104,2021-03-24,newsletter,display,lead_generation,2951.84,5579,3884,3129,705,569.85,18.15,19.44,120,Mobile,Safari,4,5,0.12343900052007567,1
105,2021-05-24,direct,organic,customer_retention,18.45,2600,41,26,13,461.28,31.71,36.59,279,Mobile,Chrome,5,5,0.141515206405102,1
106,2021-12-12,direct,organic,summer_sale,816.06,3146,1943,1282,528,424.58,27.17,34.02,201,Mobile,Firefox,4,4,0.13258089284542557,1
107,2022-11-04,direct,video,brand_awareness,232.2,7597,2322,1489,1039,887.6,44.75,35.87,478,Desktop,Firefox,2,3,0.10887608484752936,1
108,2023-04-05,youtube,display,brand_awareness,745.88,3430,1286,561,239,266.96,18.58,56.38,424,Mobile,Safari,2,3,0.12869990003518617,1
109,2023-04-25,instagram,referral,lead_generation,4339.92,5645,5564,1496,40,610.72,0.72,73.11,416,Mobile,Chrome,5,3,0.05640774907340962,1
110,2023-07-11,instagram,organic,summer_sale,-33.02,2841,1651,1032,400,603.6,24.23,37.49,228,Desktop,Safari,2,5,0.13635449143757694,1
111,2022-04-03,newsletter,social,new_product_launch,444.78,4843,2118,809,789,982.38,37.25,61.8,461,Mobile,Firefox,3,5,0.1268657782053727,1
112,2023-03-20,youtube,referral,new_product_launch,2205.58,6947,6487,1264,315,3.66,4.86,80.51,325,Desktop,Chrome,4,5,0.11996226545709276,1
113,2021-09-17,newsletter,display,brand_awareness,540.8,859,676,650,369,170.29,54.59,3.85,174,Mobile,Safari,1,5,0.0669826430912378,1
114,2023-06-26,youtube,referral,new_product_launch,-1718.83,7457,5927,5908,5059,957.15,85.36,0.32,101,Desktop,Chrome,4,3,-0.04433390866281639,-1
115,2023-02-14,direct,social,brand_awareness,77.5,9744,250,192,132,664.42,52.8,23.2,142,Desktop,Firefox,1,5,0.038126391627194556,1
116,2021-09-08,instagram,social,lead_generation,77.96,2115,1949,1917,1684,401.76,86.4,1.64,48,Desktop,Firefox,2,4,0.02268968705572172,1
117,2023-09-17,linkedin,video,summer_sale,1766.75,1236,925,559,469,589.96,50.7,39.57,445,Mobile,Safari,4,5,0.024933502445431244,1
118,2023-04-20,google,social,lead_generation,175.07,2565,287,143,22,238.05,7.67,50.17,54,Mobile,Safari,3,5,0.14383600069883729,1
119,2022-11-09,linkedin,video,summer_sale,1435.14,2095,603,235,92,138.18,15.26,61.03,371,Desktop,Firefox,5,4,0.11648292366538604,1
120,2023-03-05,google,social,new_product_launch,2878.6,3695,1945,274,145,864.55,7.46,85.91,475,Mobile,Firefox,5,5,0.09303777627418713,1
121,2022-07-19,youtube,referral,summer_sale,-64.24,9575,3212,1851,1241,393.98,38.64,42.37,470,Mobile,Chrome,4,4,0.07406671377466412,1
122,2021-05-21,facebook,video,new_product_launch,2482.68,7420,7302,5348,2414,428.8,33.06,26.76,120,Desktop,Chrome,1,3,0.09690006572888737,1
123,2023-09-06,linkedin,organic,brand_awareness,480.68,7925,244,96,22,919.87,9.02,60.66,78,Mobile,Chrome,5,3,0.1302873119506316,1
124,2022-12-26,facebook,referral,lead_generation,943.16,8490,5548,620,190,708.08,3.42,88.82,81,Mobile,Firefox,1,5,0.11610617083266606,1
125,2022-10-07,linkedin,referral,brand_awareness,3866.5,9811,2035,1398,896,332.03,44.03,31.3,261,Mobile,Chrome,1,5,0.008561973892436181,1
126,2023-06-01,direct,display,brand_awareness,-355.6,2846,1778,1404,798,665.05,44.88,21.03,397,Desktop,Firefox,1,4,0.10327879159971881,1
127,2024-01-13,newsletter,social,brand_awareness,1007.85,9978,6719,2391,2287,746.86,34.04,64.41,412,Desktop,Safari,1,5,0.05337440850031383,1
128,2022-01-23,linkedin,social,customer_retention,3001.05,3550,1539,544,219,251.11,14.23,64.65,114,Mobile,Safari,1,4,0.08761111840215613,1
129,2023-02-18,instagram,organic,lead_generation,153.52,4757,808,153,9,147.31,1.11,81.06,274,Mobile,Firefox,2,4,0.1454878527357848,1
130,2021-10-23,direct,social,summer_sale,32.04,1425,89,58,16,842.82,17.98,34.83,32,Desktop,Safari,2,3,0.12956920584065756,1
131,2023-05-22,twitter,video,lead_generation,807.04,5542,5044,3448,327,601.46,6.48,31.64,248,Desktop,Firefox,5,5,0.13880890317192945,1
132,2021-04-16,direct,social,customer_retention,1123.36,8897,3304,903,790,240.7,23.91,72.67,374,Desktop,Firefox,1,5,0.10948933556686957,1
133,2023-05-11,facebook,social,brand_awareness,1277.82,5528,2061,611,43,310.51,2.09,70.35,413,Mobile,Safari,5,3,0.11953816763215624,1
134,2023-02-06,newsletter,display,summer_sale,481.68,3171,2676,2595,1079,954.35,40.32,3.03,337,Mobile,Firefox,2,3,0.11672994494987826,1
135,2022-10-04,facebook,social,lead_generation,-10.68,6547,1068,789,643,365.16,60.21,26.12,431,Desktop,Safari,3,4,0.09174872369325865,1
136,2022-08-27,instagram,social,new_product_launch,175.95,4580,255,214,66,276.22,25.88,16.08,144,Mobile,Safari,2,3,0.13852128093306415,1
137,2021-06-08,instagram,social,new_product_launch,1123.36,8886,8024,1834,1710,16.71,21.31,77.14,144,Desktop,Chrome,2,5,0.11228246515472085,1
138,2022-07-12,twitter,organic,brand_awareness,1783.6,7511,2548,2333,238,501.92,9.34,8.44,87,Mobile,Firefox,4,3,0.12109906982067009,1
139,2023-10-06,newsletter,display,customer_retention,74.36,367,286,41,12,861.83,4.2,85.66,266,Mobile,Firefox,2,4,0.11660388099871583,1
140,2023-08-20,twitter,referral,lead_generation,939.93,3180,1649,494,109,75.74,6.61,70.04,343,Desktop,Chrome,4,5,0.1379070986142173,1
141,2021-12-21,facebook,social,brand_awareness,-913.6,9174,4568,56,51,938.13,1.12,98.77,323,Desktop,Firefox,3,3,0.052002793580592455,1
142,2022-03-01,youtube,social,customer_retention,2889.0,7069,6420,2122,1141,813.63,17.77,66.95,243,Desktop,Safari,5,5,0.11992223097863786,1
143,2021-11-22,youtube,display,new_product_launch,673.56,7717,1871,520,146,744.88,7.8,72.21,138,Mobile,Firefox,1,3,0.1257089943634221,1
144,2023-05-15,google,video,customer_retention,880.46,1412,662,146,94,916.13,14.2,77.95,465,Mobile,Chrome,3,4,0.10942408327507613,1
145,2021-05-15,instagram,video,customer_retention,290.89,1798,1531,1468,719,609.18,46.96,4.11,152,Mobile,Chrome,2,5,0.11371820404547506,1
146,2023-02-18,youtube,organic,lead_generation,-74.69,1622,679,71,39,374.77,5.74,89.54,136,Mobile,Firefox,4,3,0.11961828094100907,1
147,2023-09-22,twitter,referral,new_product_launch,27.78,863,463,322,26,110.26,5.62,30.45,71,Mobile,Firefox,2,4,0.12858009244026314,1
148,2021-10-15,linkedin,social,new_product_launch,9840.48,8582,6308,37,5,683.98,0.08,99.41,432,Mobile,Safari,4,3,-0.04731656458143685,-1
149,2021-08-19,youtube,social,new_product_launch,-145.88,1297,521,512,302,637.49,57.97,1.73,110,Mobile,Chrome,2,5,0.04787284660453783,1
150,2021-12-07,twitter,video,summer_sale,402.75,596,537,14,0,520.48,0.0,97.39,321,Mobile,Safari,4,5,0.07709199635752884,1
151,2023-01-17,twitter,display,brand_awareness,1729.38,8704,4551,691,143,991.7,3.14,84.82,391,Mobile,Firefox,4,4,0.08789007136017968,1
152,2023-10-01,newsletter,social,brand_awareness,1665.49,4278,1717,1006,313,519.38,18.23,41.41,296,Mobile,Safari,1,5,0.14026924948452074,1
153,2021-08-09,google,social,summer_sale,2952.23,3273,2923,636,171,44.68,5.85,78.24,131,Mobile,Chrome,1,5,0.09346923465891288,1
154,2022-08-26,instagram,social,lead_generation,957.44,3163,2176,136,88,873.85,4.04,93.75,324,Desktop,Chrome,3,5,0.13913270411941353,1
155,2021-08-04,twitter,social,summer_sale,489.48,5601,4079,2708,242,844.13,5.93,33.61,472,Mobile,Firefox,3,5,0.1435427436419212,1
156,2021-07-06,newsletter,video,customer_retention,1990.24,8632,7108,6712,6487,261.29,91.26,5.57,383,Mobile,Safari,3,3,-0.05867437804294362,-1
157,2023-05-17,linkedin,social,lead_generation,13604.11,9623,5993,5522,843,642.66,14.07,7.86,232,Desktop,Safari,2,3,-0.059613225115796586,-1
158,2021-09-05,instagram,referral,customer_retention,16.11,367,179,144,129,43.43,72.07,19.55,113,Desktop,Safari,4,4,0.054203670013866834,1
159,2021-09-09,youtube,social,brand_awareness,-120.0,766,750,320,100,587.48,13.33,57.33,159,Mobile,Safari,1,3,0.11716687159470585,1
160,2023-09-30,linkedin,social,summer_sale,9044.65,7373,4889,2903,2334,918.62,47.74,40.62,52,Desktop,Firefox,4,3,-0.03267425991196282,-1
161,2021-11-22,direct,referral,lead_generation,0.0,773,382,57,13,285.01,3.4,85.08,57,Mobile,Firefox,4,3,0.10929363255049329,1
162,2023-02-02,direct,social,brand_awareness,2487.68,9063,5408,335,81,241.84,1.5,93.81,152,Desktop,Safari,3,5,0.07100084110896032,1
163,2022-09-12,instagram,social,lead_generation,2209.68,5709,2728,2471,2253,517.73,82.59,9.42,293,Desktop,Firefox,3,4,0.02608074055974363,1
164,2021-03-04,newsletter,organic,customer_retention,96.82,116,103,92,65,455.16,63.11,10.68,192,Desktop,Chrome,2,3,0.03574536064084344,1
165,2021-05-19,facebook,referral,new_product_launch,8.58,2211,33,25,11,860.67,33.33,24.24,248,Desktop,Chrome,1,5,0.13362563190977,1
166,2022-09-06,instagram,display,lead_generation,1013.48,2924,1949,398,345,243.51,17.7,79.58,266,Mobile,Chrome,4,5,0.1432036539624839,1
167,2021-08-05,direct,display,summer_sale,-68.38,422,263,23,12,522.37,4.56,91.25,290,Mobile,Firefox,5,3,0.10515244841733862,1
168,2021-11-11,linkedin,referral,new_product_launch,7955.57,5851,3919,2327,203,845.59,5.18,40.62,217,Mobile,Firefox,3,5,-0.008402801018780104,-1
169,2022-07-13,google,referral,summer_sale,2156.26,3393,1646,740,16,362.41,0.97,55.04,203,Desktop,Safari,3,5,0.1014988957432752,1
170,2022-01-28,facebook,display,brand_awareness,193.83,2432,1491,298,62,621.97,4.16,80.01,414,Mobile,Safari,5,3,0.12306778447794137,1
171,2022-10-24,twitter,organic,brand_awareness,344.19,1099,1043,976,727,344.19,69.7,6.42,260,Desktop,Firefox,4,3,0.05159695199284542,1
172,2021-08-11,youtube,social,customer_retention,-18.0,5031,72,13,4,83.9,5.56,81.94,80,Desktop,Safari,3,3,0.1361528595386149,1
173,2023-08-21,direct,social,customer_retention,-36.48,2200,76,24,24,138.41,31.58,68.42,130,Mobile,Safari,3,5,0.1354749859310443,1
174,2023-11-22,linkedin,display,customer_retention,1390.72,6779,656,199,28,358.17,4.27,69.66,139,Mobile,Firefox,1,3,0.125705594521772,1
175,2023-07-07,newsletter,display,customer_retention,35.19,1024,207,185,159,243.86,76.81,10.63,57,Mobile,Safari,2,4,0.04710831714893837,1
176,2022-07-13,facebook,display,brand_awareness,1127.2,8213,7045,3595,2541,166.11,36.07,48.97,463,Mobile,Safari,1,5,0.09884312694687614,1
177,2021-10-28,youtube,video,lead_generation,25.59,4185,2559,1380,1289,638.02,50.37,46.07,250,Mobile,Safari,1,5,0.1024100084350843,1
178,2023-08-01,direct,social,brand_awareness,3225.3,9400,8270,2207,928,13.84,11.22,73.31,458,Desktop,Safari,2,4,0.07130573257650419,1
179,2021-10-01,instagram,referral,brand_awareness,176.88,733,536,213,99,35.98,18.47,60.26,395,Desktop,Firefox,2,4,0.11758243904379301,1
180,2021-03-24,instagram,display,summer_sale,83.6,9378,836,788,134,267.56,16.03,5.74,416,Desktop,Safari,2,3,0.09197967748815133,1
181,2023-03-08,youtube,display,lead_generation,1298.8,5420,3820,3670,761,373.71,19.92,3.93,436,Mobile,Safari,2,3,0.1308902746811068,1
182,2022-08-03,instagram,display,lead_generation,2776.32,4993,3856,3814,1520,990.45,39.42,1.09,466,Desktop,Safari,5,4,0.08984625954409498,1
183,2021-11-21,linkedin,display,brand_awareness,1454.57,2685,871,550,97,791.52,11.14,36.85,421,Mobile,Firefox,2,5,0.13589620806863112,1
