,date,source,medium,campaign,cost,impressions,clicks,users,revenue,conversion_rate,bounce_rate,time_on_site,device_type,browser,satisfaction_score,feedback_score,scores,anomaly
23,2021-05-02,referral,none,direct,52.14,2192,2675,794,392.23,9.0,16%,7m 53s,Desktop,Firefox,4,5,0.08827524352684629,1
24,2022-10-16,google,paid,chrome_launch_switch,25.26,9123,6273,670,923.98,16.0,18%,10m 7s,Desktop,Firefox,2,4,0.0961951809214498,1
25,2021-02-23,enterprisemarketingportal,organic,direct,99.57,8949,4222,693,358.04,3.0,23%,3m 36s,Desktop,Firefox,5,4,-0.02687480473583459,-1
26,2023-03-11,brightedge,none,chrome_launch_switch,20.93,1982,5455,410,773.81,14.0,9%,8m 21s,Mobile,Firefox,1,3,0.06485124199128545,1
27,2023-08-29,google,paid,organic,55.42,1442,1622,662,22.64,5.0,16%,1m 31s,Mobile,Safari,2,4,0.07187267964981026,1
28,2022-01-26,brightedge,referral,organic,49.63,5261,1424,478,149.31,12.0,22%,5m 37s,Desktop,Chrome,5,5,0.09443259495291989,1
29,2022-07-04,brightedge,organic,chrome_launch_switch,66.68,9193,606,500,100.74,3.0,16%,2m 11s,Mobile,Firefox,3,5,0.020353832016160478,1
30,2023-12-10,google,referral,direct,20.7,9266,5269,143,994.52,30.0,21%,6m 35s,Desktop,Safari,1,3,-0.005594558606498379,-1
31,2022-11-27,enterprisemarketingportal,paid,direct,50.15,1399,6080,56,603.69,26.0,5%,3m 48s,Mobile,Chrome,3,4,0.06818446030751746,1
32,2021-12-18,referral,referral,direct,61.01,1366,2256,151,826.19,23.0,24%,3m 40s,Desktop,Firefox,4,3,0.06428312203839359,1
33,2022-11-07,enterprisemarketingportal,organic,direct,45.07,9884,8904,402,868.61,29.0,12%,8m 29s,Mobile,Firefox,2,4,0.009139625678840968,1
34,2022-10-10,enterprisemarketingportal,organic,chrome_launch_switch,24.27,2307,3893,871,133.65,5.0,14%,1m 13s,Mobile,Firefox,3,3,0.0566059030848024,1
35,2021-02-04,google,none,chrome_launch_switch,53.33,5013,6970,405,989.25,13.0,21%,7m 11s,Mobile,Safari,4,3,0.09865923349147193,1
36,2023-02-21,brightedge,paid,chrome_launch_switch,89.56,9484,2717,978,644.84,17.0,14%,10m 13s,Mobile,Safari,5,4,0.06331461205037459,1
37,2021-08-09,enterprisemarketingportal,none,direct,42.33,8228,3080,97,150.11,13.0,16%,8m 52s,Mobile,Chrome,1,5,0.09495823597421726,1
38,2022-09-25,brightedge,paid,referral,43.74,1447,5542,930,964.27,24.0,23%,8m 50s,Mobile,Chrome,3,3,0.06586586184234877,1
39,2022-05-25,referral,organic,organic,18.79,8778,1925,12,952.25,16.0,20%,8m 41s,Mobile,Safari,5,5,0.06084754299504658,1
40,2023-01-11,referral,organic,chrome_launch_switch,75.49,3658,8750,630,28.2,17.0,15%,5m 12s,Desktop,Safari,2,4,0.12201772657862736,1
41,2021-03-11,google,none,direct,41.03,7042,571,245,569.72,24.0,9%,3m 7s,Mobile,Firefox,2,5,0.08750531993248256,1
42,2021-04-01,brightedge,none,chrome_launch_switch,18.7,5606,7285,242,881.94,21.0,23%,8m 57s,Desktop,Chrome,1,4,0.10228677928713947,1
43,2021-02-12,google,organic,referral,53.31,3897,7367,604,238.37,25.0,16%,1m 25s,Mobile,Safari,5,4,0.09094330475250167,1
44,2023-03-10,google,referral,organic,86.7,5176,6437,679,839.0,2.0,19%,5m 44s,Mobile,Chrome,3,4,0.040794322921983706,1
45,2022-05-22,google,none,referral,40.21,8836,8084,733,253.23,15.0,17%,7m 47s,Mobile,Firefox,3,3,0.08526913301787475,1
46,2021-05-31,enterprisemarketingportal,organic,direct,73.23,8448,3563,941,2.35,5.0,11%,6m 3s,Desktop,Firefox,3,5,0.05367550792578024,1
47,2022-03-18,brightedge,organic,chrome_launch_switch,9.28,2088,7367,804,288.63,30.0,22%,10m 35s,Desktop,Chrome,3,4,-0.004091297107311598,-1
48,2022-09-13,referral,organic,referral,44.02,5706,34,14,581.43,20.0,12%,6m 16s,Mobile,Chrome,1,4,0.11370338836908911,1
49,2023-06-14,brightedge,referral,referral,11.27,1965,19,870,704.53,4.0,24%,10m 39s,Desktop,Chrome,4,5,0.03163944639294569,1
50,2021-09-10,enterprisemarketingportal,organic,direct,61.75,3604,192,337,993.36,2.0,16%,1m 28s,Desktop,Chrome,1,3,0.05175553871809424,1
51,2023-10-22,google,referral,direct,83.58,8754,3064,989,291.01,11.0,10%,6m 29s,Desktop,Firefox,2,4,0.08650176442989516,1
52,2023-09-14,brightedge,paid,direct,67.33,3522,827,669,393.53,23.0,17%,2m 59s,Mobile,Firefox,3,3,0.0843887708092167,1
53,2023-01-05,google,paid,organic,18.19,4128,5335,539,62.02,18.0,5%,1m 34s,Desktop,Chrome,4,3,0.08147430246934217,1
54,2022-02-19,brightedge,referral,referral,74.66,8452,7498,539,285.77,8.0,16%,7m 34s,Mobile,Firefox,4,3,0.06773092589212615,1
55,2021-02-05,google,referral,direct,95.61,7714,130,157,308.63,25.0,14%,6m 12s,Mobile,Firefox,3,3,0.02354868564802115,1
56,2024-01-16,enterprisemarketingportal,organic,organic,21.37,8833,3085,400,895.99,8.0,18%,6m 53s,Desktop,Safari,4,4,0.07999323686047688,1
57,2022-12-29,brightedge,referral,direct,61.5,6265,6459,114,291.99,30.0,6%,5m 59s,Mobile,Chrome,4,4,0.030879213154011764,1
58,2022-10-29,referral,referral,chrome_launch_switch,56.7,8626,3906,559,572.43,11.0,25%,5m 10s,Mobile,Firefox,4,4,0.11394232380082864,1
59,2021-02-11,enterprisemarketingportal,none,referral,33.49,9415,8264,715,546.1,2.0,7%,1m 39s,Mobile,Safari,1,4,0.022401218412707036,1
60,2022-03-23,enterprisemarketingportal,paid,referral,26.7,6360,5241,406,116.61,3.0,12%,1m 29s,Mobile,Firefox,4,3,0.04683805855534673,1
61,2021-08-13,brightedge,referral,direct,92.49,3960,6417,622,743.17,25.0,16%,3m 21s,Desktop,Chrome,1,4,0.05691820325081842,1
62,2022-09-09,google,paid,referral,35.06,1825,3214,467,126.48,2.0,6%,10m 54s,Mobile,Safari,4,3,0.03454832279268705,1
63,2022-02-03,enterprisemarketingportal,referral,direct,51.11,8376,7225,375,999.88,27.0,23%,4m 33s,Mobile,Firefox,4,4,0.08822895306991885,1
64,2023-03-28,brightedge,none,organic,58.68,5067,5384,812,960.62,28.0,6%,4m 1s,Desktop,Firefox,5,4,0.07257273474755865,1
65,2023-05-25,google,organic,direct,67.91,3618,6582,423,922.3,21.0,21%,2m 15s,Mobile,Safari,1,5,0.10198414710132847,1
66,2022-04-13,referral,referral,chrome_launch_switch,16.45,2277,880,766,690.43,16.0,16%,9m 10s,Desktop,Firefox,5,4,0.08096008326873882,1
67,2021-08-02,referral,organic,direct,27.79,7469,1294,557,75.64,18.0,11%,3m 18s,Desktop,Chrome,1,3,0.08630002254059316,1
68,2023-07-25,referral,paid,chrome_launch_switch,32.85,1623,3213,117,807.43,1.0,14%,8m 8s,Mobile,Safari,5,3,0.016112187906013875,1
69,2022-03-25,enterprisemarketingportal,none,organic,36.94,7442,5180,183,520.4,27.0,22%,5m 6s,Mobile,Chrome,3,5,0.06970178414450401,1
70,2022-03-13,brightedge,referral,chrome_launch_switch,50.69,3999,6946,668,391.57,16.0,18%,9m 23s,Mobile,Chrome,2,3,0.09609225203860167,1
71,2023-02-02,brightedge,referral,organic,68.68,3639,7667,380,954.76,13.0,24%,4m 46s,Mobile,Firefox,2,5,0.1009165575424345,1
72,2021-11-22,brightedge,none,referral,96.25,7398,1968,824,496.83,26.0,24%,1m 21s,Mobile,Firefox,1,5,0.023407770012317308,1
73,2022-04-18,brightedge,none,organic,62.61,7626,2523,293,239.59,16.0,25%,9m 20s,Desktop,Safari,2,3,0.08506901496399244,1
74,2021-05-17,enterprisemarketingportal,paid,direct,58.6,5775,2878,246,785.34,16.0,8%,5m 47s,Desktop,Safari,4,3,0.09717693777606745,1
75,2023-02-21,google,organic,referral,74.13,6536,2395,338,493.81,4.0,6%,4m 52s,Desktop,Safari,3,5,0.06434094652597044,1
76,2021-08-13,enterprisemarketingportal,referral,referral,95.43,2543,6181,814,660.06,27.0,15%,5m 58s,Mobile,Chrome,4,3,0.020536660980649213,1
77,2022-06-28,brightedge,referral,referral,15.28,7323,2163,502,623.25,14.0,15%,2m 10s,Desktop,Firefox,4,5,0.07654137874814348,1
78,2021-12-18,google,paid,referral,74.81,8191,3978,476,445.18,7.0,9%,6m 30s,Mobile,Chrome,2,5,0.07337133703674359,1
79,2022-07-21,enterprisemarketingportal,organic,direct,4.32,7302,6963,875,305.64,5.0,16%,7m 57s,Desktop,Safari,5,3,0.003426072523338597,1
80,2023-06-16,brightedge,paid,direct,22.56,7761,6017,266,21.21,15.0,21%,6m 45s,Desktop,Firefox,2,4,0.10433674646837265,1
81,2023-06-26,brightedge,organic,chrome_launch_switch,95.38,5337,3578,251,555.03,2.0,5%,7m 31s,Mobile,Chrome,5,3,0.029141148827443786,1
82,2023-12-10,enterprisemarketingportal,referral,direct,43.08,1548,8719,729,401.83,27.0,25%,4m 22s,Mobile,Safari,2,4,0.06869716184364116,1
83,2022-01-21,enterprisemarketingportal,none,direct,58.86,843,3761,73,961.14,10.0,17%,8m 27s,Mobile,Chrome,3,5,0.05760035477529213,1
84,2023-03-01,enterprisemarketingportal,referral,referral,37.56,9886,615,339,695.13,17.0,21%,6m 51s,Desktop,Chrome,3,4,0.06703625632695698,1
85,2023-12-31,referral,referral,organic,85.81,3307,4015,850,480.52,9.0,11%,6m 15s,Desktop,Firefox,3,4,0.08678880794933824,1
86,2021-06-15,enterprisemarketingportal,paid,direct,51.25,1985,1069,697,41.45,21.0,23%,6m 58s,Mobile,Firefox,4,5,0.08021137797779021,1
87,2023-01-05,google,paid,direct,42.15,2574,6625,259,344.14,30.0,10%,9m 30s,Mobile,Firefox,3,5,0.018610716706437325,1
88,2023-11-23,brightedge,organic,organic,24.64,7121,4802,897,790.66,4.0,5%,5m 36s,Mobile,Chrome,3,5,0.050486147047996255,1
89,2021-04-07,google,referral,organic,26.99,3079,7543,952,308.92,8.0,23%,9m 19s,Desktop,Firefox,3,5,0.08259097952420535,1
90,2021-10-29,brightedge,organic,chrome_launch_switch,94.18,3803,2689,632,3.1,10.0,7%,8m 42s,Desktop,Chrome,3,3,0.07090538091799581,1
91,2023-05-26,google,organic,referral,8.45,7104,2058,477,279.34,10.0,5%,3m 1s,Desktop,Chrome,5,5,0.05670791128678354,1
92,2022-11-19,google,organic,referral,15.84,7897,5782,404,272.29,20.0,10%,10m 50s,Desktop,Safari,2,5,0.07412154897444623,1
93,2021-02-19,enterprisemarketingportal,organic,referral,72.19,2197,7019,644,684.72,20.0,24%,6m 14s,Mobile,Firefox,3,3,0.06480827587665894,1
94,2022-10-03,referral,paid,direct,85.61,4166,8473,510,224.58,15.0,8%,10m 57s,Desktop,Safari,2,5,0.08026154428897048,1
95,2022-04-19,google,organic,direct,11.71,6582,8199,79,324.89,16.0,6%,9m 29s,Mobile,Chrome,2,5,0.061666048096963855,1
96,2024-01-06,referral,organic,direct,11.43,2308,3735,966,794.41,22.0,6%,7m 14s,Mobile,Firefox,4,3,0.030499677976809192,1
97,2022-06-26,google,referral,referral,4.37,5615,145,896,523.83,28.0,12%,10m 51s,Desktop,Chrome,5,4,0.024766908245836494,1
98,2022-12-16,google,referral,organic,50.7,3640,5032,841,848.45,7.0,11%,8m 41s,Desktop,Chrome,4,4,0.09754404686050716,1
99,2023-02-27,google,referral,referral,87.16,1976,5885,209,444.97,15.0,24%,4m 21s,Desktop,Chrome,1,5,0.07178243507529358,1
100,2021-08-13,brightedge,referral,direct,60.72,7534,2068,868,126.8,18.0,23%,3m 23s,Mobile,Chrome,2,3,0.08212693831781559,1
101,2023-05-03,google,organic,direct,5.31,4921,4222,957,423.83,1.0,24%,4m 52s,Mobile,Chrome,5,3,-0.017662655714515196,-1
102,2021-11-22,referral,referral,organic,34.89,6134,3782,674,229.68,23.0,18%,1m 37s,Mobile,Firefox,5,5,0.08334139739690416,1
103,2022-12-01,referral,none,referral,54.77,6206,5784,264,542.07,2.0,25%,1m 49s,Mobile,Safari,5,3,0.06272860355074861,1
104,2021-08-31,brightedge,none,organic,2.24,785,3638,334,123.89,24.0,17%,3m 56s,Desktop,Safari,2,4,0.024976146066900573,1
105,2023-04-14,google,organic,chrome_launch_switch,74.19,8777,549,142,602.75,28.0,23%,9m 47s,Desktop,Chrome,1,5,0.045093804541650906,1
106,2021-07-31,referral,paid,direct,93.64,9599,2135,499,624.91,11.0,24%,7m 7s,Desktop,Chrome,4,4,0.03857227851257372,1
107,2021-09-20,google,organic,chrome_launch_switch,85.78,6400,2732,513,306.09,18.0,15%,7m 25s,Mobile,Firefox,1,4,0.10461708487233135,1
108,2022-10-14,enterprisemarketingportal,organic,referral,14.1,2052,1731,966,309.65,9.0,21%,5m 56s,Desktop,Chrome,5,4,0.06385545927115166,1
109,2023-08-28,brightedge,none,referral,18.25,2035,4836,525,4.8,4.0,14%,10m 44s,Desktop,Chrome,5,5,0.045588766420561755,1
110,2022-01-31,enterprisemarketingportal,referral,referral,85.47,5442,1617,588,15.92,7.0,25%,9m 4s,Mobile,Safari,2,4,0.08039980138511882,1
111,2023-10-10,brightedge,paid,direct,17.12,7240,802,138,447.52,26.0,6%,10m 37s,Mobile,Chrome,4,3,0.05398767096981849,1
112,2023-02-08,google,none,organic,64.41,6653,8454,904,800.49,19.0,14%,7m 13s,Mobile,Firefox,1,5,0.08264399467735573,1
113,2021-03-16,enterprisemarketingportal,organic,organic,10.75,9151,5778,925,627.92,6.0,19%,2m 32s,Desktop,Safari,4,5,0.013303050981491538,1
114,2023-09-09,brightedge,none,referral,88.39,1515,1024,309,742.72,16.0,6%,6m 47s,Mobile,Chrome,1,3,0.05443440001870792,1
115,2022-08-11,brightedge,paid,direct,49.71,4269,1457,650,876.95,6.0,12%,9m 41s,Mobile,Safari,1,4,0.09849112315902103,1
116,2022-12-05,google,paid,chrome_launch_switch,28.8,3093,1320,575,254.23,16.0,21%,7m 31s,Mobile,Chrome,5,3,0.08948344004967423,1
117,2021-09-27,referral,referral,direct,7.82,8682,4521,178,455.73,27.0,19%,5m 37s,Mobile,Chrome,5,5,0.011914245216444574,1
118,2023-08-13,referral,organic,organic,69.35,2074,1983,746,159.3,21.0,22%,1m 46s,Desktop,Firefox,4,4,0.09770327346314522,1
119,2023-10-06,google,none,referral,76.93,98,8412,617,276.7,6.0,8%,10m 16s,Desktop,Firefox,4,4,0.036867024454716346,1
120,2021-09-19,referral,referral,organic,12.93,9550,5341,992,528.66,16.0,9%,7m 9s,Desktop,Safari,5,4,0.07131085653818814,1
121,2023-09-24,google,paid,referral,74.29,4084,1201,825,707.55,22.0,23%,2m 17s,Desktop,Firefox,1,5,0.09700376935781746,1
122,2023-12-28,brightedge,organic,direct,94.84,9000,8385,43,545.9,12.0,20%,8m 39s,Mobile,Safari,1,5,0.026008076310046868,1
123,2022-02-09,google,none,direct,8.94,5715,320,348,675.48,24.0,22%,6m 9s,Mobile,Firefox,5,5,0.03664157507639709,1
124,2021-11-16,google,referral,direct,88.35,2820,736,869,118.41,22.0,22%,9m 26s,Mobile,Chrome,1,5,0.07055913267132397,1
125,2023-01-09,google,referral,chrome_launch_switch,29.77,2774,4502,636,384.97,10.0,6%,9m 43s,Desktop,Chrome,4,4,0.07506756524366542,1
126,2022-05-07,brightedge,organic,chrome_launch_switch,43.7,5366,3131,368,954.44,22.0,25%,6m 53s,Desktop,Safari,2,3,0.08716450461073777,1
127,2021-10-23,google,organic,chrome_launch_switch,4.9,3014,7745,847,678.25,20.0,5%,5m 51s,Desktop,Chrome,3,3,0.043136434494618014,1
128,2023-08-07,brightedge,referral,direct,22.81,5177,4060,629,660.82,17.0,12%,10m 1s,Desktop,Safari,5,3,0.07693275765973806,1
129,2021-10-15,enterprisemarketingportal,organic,organic,54.49,3174,4616,583,862.93,3.0,14%,6m 42s,Mobile,Chrome,5,3,0.0600406859739675,1
130,2022-11-19,enterprisemarketingportal,paid,direct,92.81,448,4756,670,12.5,9.0,7%,1m 34s,Desktop,Chrome,3,4,0.030972731019890842,1
131,2022-09-18,referral,organic,organic,84.53,9092,8727,298,909.49,13.0,20%,2m 26s,Desktop,Firefox,3,3,0.05639029162708964,1
132,2021-12-04,brightedge,organic,referral,66.23,6905,1765,332,612.86,7.0,7%,5m 18s,Mobile,Firefox,2,4,0.09875776828247917,1
133,2023-03-25,google,organic,direct,79.28,4328,1681,484,577.42,12.0,17%,10m 53s,Mobile,Safari,4,3,0.08885275984157703,1
134,2022-05-09,enterprisemarketingportal,none,chrome_launch_switch,12.26,8379,7963,697,255.13,7.0,21%,10m 28s,Mobile,Chrome,4,5,0.04747796654223868,1
135,2023-09-02,google,paid,organic,63.65,7428,6812,469,860.74,18.0,23%,2m 30s,Desktop,Firefox,4,4,0.11810394073294278,1
136,2023-06-22,google,paid,chrome_launch_switch,65.09,1397,2790,371,853.7,27.0,11%,3m 53s,Desktop,Safari,5,5,0.045984540111756456,1
137,2021-08-31,brightedge,referral,chrome_launch_switch,35.28,7783,2453,829,514.43,7.0,11%,5m 8s,Mobile,Safari,1,3,0.07752054374976725,1
138,2023-01-07,brightedge,none,chrome_launch_switch,43.38,4851,856,1000,496.02,1.0,21%,1m 27s,Mobile,Firefox,2,5,0.032227906168685205,1
139,2022-09-04,referral,paid,organic,97.62,1260,8552,580,843.34,10.0,15%,8m 13s,Desktop,Chrome,3,3,0.017366463757702788,1
140,2021-09-28,brightedge,none,direct,90.31,2697,4273,423,776.65,12.0,9%,9m 33s,Desktop,Chrome,2,4,0.07836903378234983,1
141,2021-06-21,google,organic,direct,35.78,575,7148,801,206.63,28.0,11%,2m 24s,Mobile,Firefox,2,4,0.04390379455571769,1
142,2022-07-30,referral,referral,chrome_launch_switch,96.21,6547,3796,857,27.12,15.0,19%,8m 59s,Desktop,Chrome,5,3,0.05950094439356213,1
143,2021-07-30,enterprisemarketingportal,organic,referral,78.45,8018,3964,544,358.1,4.0,18%,2m 42s,Desktop,Chrome,5,4,0.05975923696092689,1
144,2023-08-06,google,none,referral,88.26,7878,1179,871,944.33,1.0,9%,4m 51s,Mobile,Safari,2,5,-0.0005770019197801624,-1
145,2023-03-24,brightedge,organic,organic,90.28,9825,1834,15,385.75,29.0,17%,2m 22s,Mobile,Safari,2,4,-0.015584186734890704,-1
146,2021-07-14,google,paid,chrome_launch_switch,49.42,4513,7713,758,469.31,12.0,10%,2m 41s,Desktop,Chrome,2,3,0.09342715681054004,1
147,2021-07-02,enterprisemarketingportal,referral,organic,14.12,8215,7769,819,752.04,15.0,23%,5m 35s,Mobile,Chrome,4,3,0.0696522611385918,1
148,2021-06-04,referral,none,organic,5.37,9996,4643,844,228.93,11.0,21%,10m 44s,Desktop,Firefox,1,3,-0.00753954442131699,-1
149,2022-01-18,brightedge,paid,direct,75.36,7994,6736,371,425.97,30.0,10%,5m 29s,Desktop,Firefox,3,5,0.013504144717653821,1
150,2023-03-24,brightedge,none,direct,87.52,1554,5947,978,874.72,22.0,24%,8m 7s,Mobile,Safari,1,5,0.060310063993605945,1
151,2023-04-22,google,organic,chrome_launch_switch,19.21,9750,8359,892,612.69,13.0,20%,10m 53s,Mobile,Chrome,5,3,0.02886332685538362,1
152,2022-02-22,enterprisemarketingportal,paid,organic,18.58,3911,2875,54,287.78,19.0,10%,9m 33s,Desktop,Safari,4,3,0.08497468843956985,1
153,2021-03-22,referral,referral,organic,69.17,1919,7633,237,552.67,5.0,10%,9m 14s,Mobile,Chrome,2,5,0.06293356751012069,1
154,2021-05-09,brightedge,paid,chrome_launch_switch,10.62,503,4571,800,194.63,16.0,8%,9m 9s,Desktop,Chrome,5,4,0.04864150328494299,1
155,2021-04-05,brightedge,paid,organic,22.09,8664,6049,651,637.03,21.0,11%,7m 23s,Desktop,Firefox,3,3,0.07559804826568917,1
156,2022-06-29,brightedge,none,organic,14.02,2908,1033,634,963.78,25.0,8%,5m 57s,Mobile,Chrome,3,4,0.06673175352782434,1
157,2022-08-12,google,paid,chrome_launch_switch,81.98,3778,8974,806,734.01,6.0,10%,6m 21s,Desktop,Firefox,1,3,0.07802023318136053,1
158,2021-05-14,enterprisemarketingportal,organic,chrome_launch_switch,57.68,8463,4177,400,382.91,29.0,18%,9m 33s,Desktop,Safari,1,4,0.04699804920591211,1
159,2022-04-23,google,paid,direct,45.51,2625,6547,242,407.44,28.0,12%,1m 20s,Mobile,Chrome,2,5,0.052130966514217114,1
160,2022-10-11,enterprisemarketingportal,paid,direct,19.58,9103,2837,286,800.63,7.0,23%,2m 14s,Desktop,Safari,5,4,0.06313019548068033,1
161,2022-01-10,referral,paid,chrome_launch_switch,12.1,9912,1557,108,674.94,9.0,20%,1m 32s,Desktop,Safari,4,5,-0.0026426535628399916,-1
162,2021-03-11,google,none,chrome_launch_switch,32.59,6661,5423,881,6.61,17.0,10%,8m 43s,Mobile,Safari,3,4,0.11721536661889725,1
163,2022-05-23,referral,paid,referral,61.13,7507,1635,243,370.28,18.0,8%,6m 32s,Desktop,Firefox,2,5,0.09452544403830732,1
164,2022-03-08,google,paid,direct,18.34,3889,4515,406,860.3,21.0,19%,4m 28s,Desktop,Firefox,1,5,0.07096797205934846,1
165,2022-09-10,brightedge,none,referral,93.3,5747,782,561,147.82,18.0,15%,1m 47s,Mobile,Safari,1,4,0.07957039543806554,1
166,2021-05-09,google,paid,direct,73.28,6761,1528,208,944.48,13.0,9%,9m 43s,Mobile,Safari,3,5,0.0929498207448674,1
167,2022-02-06,referral,paid,organic,34.18,4390,2394,125,222.11,25.0,5%,3m 59s,Mobile,Chrome,4,5,0.0777307224142626,1
168,2023-04-17,google,organic,organic,94.47,8331,4386,100,513.22,26.0,7%,9m 44s,Desktop,Chrome,2,4,0.039673248502694825,1
169,2022-10-17,brightedge,paid,direct,47.08,8817,3755,32,70.28,26.0,17%,6m 50s,Mobile,Firefox,1,4,0.081714352488923,1
170,2022-07-15,brightedge,paid,referral,65.75,2474,3322,231,734.49,1.0,7%,6m 1s,Desktop,Firefox,5,4,0.03526825167242176,1
171,2021-06-06,enterprisemarketingportal,paid,referral,13.27,5630,6761,462,777.55,9.0,23%,2m 18s,Desktop,Safari,4,5,0.05575206489886708,1
172,2021-11-19,google,paid,direct,62.59,8309,871,772,913.08,28.0,24%,9m 8s,Desktop,Safari,4,4,0.07466771587774412,1
173,2022-05-13,google,organic,referral,2.7,5873,3636,49,934.4,22.0,25%,7m 47s,Mobile,Chrome,2,4,0.05526181939902697,1
174,2024-01-07,enterprisemarketingportal,none,direct,47.46,6486,2122,122,773.39,27.0,9%,10m 14s,Mobile,Chrome,5,4,0.09142932267916065,1
175,2023-10-18,enterprisemarketingportal,paid,chrome_launch_switch,24.35,5897,6905,137,8.69,16.0,10%,10m 41s,Desktop,Firefox,5,3,0.08299237770144785,1
176,2023-03-19,enterprisemarketingportal,paid,direct,83.59,8053,8720,586,49.87,6.0,18%,10m 30s,Mobile,Firefox,5,3,0.04742484582304096,1
177,2022-11-21,google,referral,organic,87.06,3036,4684,846,665.71,26.0,13%,9m 50s,Mobile,Safari,3,5,0.050548586082383995,1
178,2021-01-20,google,organic,referral,64.49,6318,2434,445,120.55,17.0,8%,3m 15s,Mobile,Chrome,5,3,0.09395285441975237,1
179,2021-09-27,referral,none,organic,34.82,4778,8844,552,853.36,25.0,6%,2m 6s,Mobile,Firefox,5,3,0.07784622346580583,1
180,2022-09-11,referral,organic,direct,58.42,8285,2710,636,620.57,13.0,15%,10m 12s,Desktop,Firefox,3,4,0.1173892270600288,1
181,2021-08-31,brightedge,organic,chrome_launch_switch,72.89,4133,2620,927,924.32,7.0,11%,4m 10s,Mobile,Firefox,3,3,0.07759902950347031,1
182,2022-09-13,brightedge,organic,referral,26.55,8069,6278,879,848.64,23.0,17%,5m 56s,Desktop,Safari,3,3,0.07650253115785166,1
183,2021-06-26,google,referral,organic,97.22,4000,4703,599,974.04,28.0,11%,7m 58s,Mobile,Chrome,5,3,0.01203655534725201,1
