date,source,medium,campaign,cost,impressions,clicks,users,revenue,conversion_rate,bounce_rate,time_on_site,device_type,browser,satisfaction_score,feedback_score
2022-12-31,enterprisemarketingportal,none,organic,48.25,7117,8428,731,271.54,12%,10%,3m 30s,Mobile,Safari,3,3
2023-04-02,enterprisemarketingportal,paid,organic,67.72,8850,2431,625,591.01,24%,25%,6m 45s,Mobile,Safari,3,4
2021-03-14,enterprisemarketingportal,referral,direct,15.27,1396,2540,455,307.82,16%,24%,4m 2s,Desktop,Firefox,2,4
2021-09-01,google,paid,chrome_launch_switch,10.13,9174,8647,471,573.83,2%,25%,2m 37s,Desktop,Firefox,3,5
2021-12-24,referral,paid,organic,98.6,9923,794,377,757.66,15%,9%,5m 21s,Mobile,Chrome,5,3
2023-12-31,google,paid,chrome_launch_switch,55.44,2975,6530,896,947.4,25%,6%,9m 55s,Desktop,Chrome,3,5
2022-07-21,brightedge,referral,organic,30.91,3519,6897,305,140.7,7%,19%,4m 5s,Mobile,Firefox,5,5
2022-07-07,brightedge,paid,direct,99.71,7475,989,453,207.06,20%,15%,6m 15s,Mobile,Safari,5,5
2021-05-02,referral,none,direct,52.14,2192,2675,794,392.23,9%,16%,7m 53s,Desktop,Firefox,4,5
2022-10-16,google,paid,chrome_launch_switch,25.26,9123,6273,670,923.98,16%,18%,10m 7s,Desktop,Firefox,2,4
2021-02-23,enterprisemarketingportal,organic,direct,99.57,8949,4222,693,358.04,3%,23%,3m 36s,Desktop,Firefox,5,4
2023-03-11,brightedge,none,chrome_launch_switch,20.93,1982,5455,410,773.81,14%,9%,8m 21s,Mobile,Firefox,1,3
2023-08-29,google,paid,organic,55.42,1442,1622,662,22.64,5%,16%,1m 31s,Mobile,Safari,2,4
2022-01-26,brightedge,referral,organic,49.63,5261,1424,478,149.31,12%,22%,5m 37s,Desktop,Chrome,5,5
2022-07-04,brightedge,organic,chrome_launch_switch,66.68,9193,606,500,100.74,3%,16%,2m 11s,Mobile,Firefox,3,5
2023-12-10,google,referral,direct,20.7,9266,5269,143,994.52,30%,21%,6m 35s,Desktop,Safari,1,3
2022-11-27,enterprisemarketingportal,paid,direct,50.15,1399,6080,56,603.69,26%,5%,3m 48s,Mobile,Chrome,3,4
2021-12-18,referral,referral,direct,61.01,1366,2256,151,826.19,23%,24%,3m 40s,Desktop,Firefox,4,3
2022-11-07,enterprisemarketingportal,organic,direct,45.07,9884,8904,402,868.61,29%,12%,8m 29s,Mobile,Firefox,2,4
2022-10-10,enterprisemarketingportal,organic,chrome_launch_switch,24.27,2307,3893,871,133.65,5%,14%,1m 13s,Mobile,Firefox,3,3
2021-02-04,google,none,chrome_launch_switch,53.33,5013,6970,405,989.25,13%,21%,7m 11s,Mobile,Safari,4,3
2023-02-21,brightedge,paid,chrome_launch_switch,89.56,9484,2717,978,644.84,17%,14%,10m 13s,Mobile,Safari,5,4
2021-08-09,enterprisemarketingportal,none,direct,42.33,8228,3080,97,150.11,13%,16%,8m 52s,Mobile,Chrome,1,5
2022-09-25,brightedge,paid,referral,43.74,1447,5542,930,964.27,24%,23%,8m 50s,Mobile,Chrome,3,3
2022-05-25,referral,organic,organic,18.79,8778,1925,12,952.25,16%,20%,8m 41s,Mobile,Safari,5,5
2023-01-11,referral,organic,chrome_launch_switch,75.49,3658,8750,630,28.2,17%,15%,5m 12s,Desktop,Safari,2,4
2021-03-11,google,none,direct,41.03,7042,571,245,569.72,24%,9%,3m 7s,Mobile,Firefox,2,5
2021-04-01,brightedge,none,chrome_launch_switch,18.7,5606,7285,242,881.94,21%,23%,8m 57s,Desktop,Chrome,1,4
2021-02-12,google,organic,referral,53.31,3897,7367,604,238.37,25%,16%,1m 25s,Mobile,Safari,5,4
2023-03-10,google,referral,organic,86.7,5176,6437,679,839.0,2%,19%,5m 44s,Mobile,Chrome,3,4
2022-05-22,google,none,referral,40.21,8836,8084,733,253.23,15%,17%,7m 47s,Mobile,Firefox,3,3
2021-05-31,enterprisemarketingportal,organic,direct,73.23,8448,3563,941,2.35,5%,11%,6m 3s,Desktop,Firefox,3,5
2022-03-18,brightedge,organic,chrome_launch_switch,9.28,2088,7367,804,288.63,30%,22%,10m 35s,Desktop,Chrome,3,4
2022-09-13,referral,organic,referral,44.02,5706,34,14,581.43,20%,12%,6m 16s,Mobile,Chrome,1,4
2023-06-14,brightedge,referral,referral,11.27,1965,19,870,704.53,4%,24%,10m 39s,Desktop,Chrome,4,5
2021-09-10,enterprisemarketingportal,organic,direct,61.75,3604,192,337,993.36,2%,16%,1m 28s,Desktop,Chrome,1,3
2023-10-22,google,referral,direct,83.58,8754,3064,989,291.01,11%,10%,6m 29s,Desktop,Firefox,2,4
2023-09-14,brightedge,paid,direct,67.33,3522,827,669,393.53,23%,17%,2m 59s,Mobile,Firefox,3,3
2023-01-05,google,paid,organic,18.19,4128,5335,539,62.02,18%,5%,1m 34s,Desktop,Chrome,4,3
2022-02-19,brightedge,referral,referral,74.66,8452,7498,539,285.77,8%,16%,7m 34s,Mobile,Firefox,4,3
2021-02-05,google,referral,direct,95.61,7714,130,157,308.63,25%,14%,6m 12s,Mobile,Firefox,3,3
2024-01-16,enterprisemarketingportal,organic,organic,21.37,8833,3085,400,895.99,8%,18%,6m 53s,Desktop,Safari,4,4
2022-12-29,brightedge,referral,direct,61.5,6265,6459,114,291.99,30%,6%,5m 59s,Mobile,Chrome,4,4
2022-10-29,referral,referral,chrome_launch_switch,56.7,8626,3906,559,572.43,11%,25%,5m 10s,Mobile,Firefox,4,4
2021-02-11,enterprisemarketingportal,none,referral,33.49,9415,8264,715,546.1,2%,7%,1m 39s,Mobile,Safari,1,4
2022-03-23,enterprisemarketingportal,paid,referral,26.7,6360,5241,406,116.61,3%,12%,1m 29s,Mobile,Firefox,4,3
2021-08-13,brightedge,referral,direct,92.49,3960,6417,622,743.17,25%,16%,3m 21s,Desktop,Chrome,1,4
2022-09-09,google,paid,referral,35.06,1825,3214,467,126.48,2%,6%,10m 54s,Mobile,Safari,4,3
2022-02-03,enterprisemarketingportal,referral,direct,51.11,8376,7225,375,999.88,27%,23%,4m 33s,Mobile,Firefox,4,4
2023-03-28,brightedge,none,organic,58.68,5067,5384,812,960.62,28%,6%,4m 1s,Desktop,Firefox,5,4
2023-05-25,google,organic,direct,67.91,3618,6582,423,922.3,21%,21%,2m 15s,Mobile,Safari,1,5
2022-04-13,referral,referral,chrome_launch_switch,16.45,2277,880,766,690.43,16%,16%,9m 10s,Desktop,Firefox,5,4
2021-08-02,referral,organic,direct,27.79,7469,1294,557,75.64,18%,11%,3m 18s,Desktop,Chrome,1,3
2023-07-25,referral,paid,chrome_launch_switch,32.85,1623,3213,117,807.43,1%,14%,8m 8s,Mobile,Safari,5,3
2022-03-25,enterprisemarketingportal,none,organic,36.94,7442,5180,183,520.4,27%,22%,5m 6s,Mobile,Chrome,3,5
2022-03-13,brightedge,referral,chrome_launch_switch,50.69,3999,6946,668,391.57,16%,18%,9m 23s,Mobile,Chrome,2,3
2023-02-02,brightedge,referral,organic,68.68,3639,7667,380,954.76,13%,24%,4m 46s,Mobile,Firefox,2,5
2021-11-22,brightedge,none,referral,96.25,7398,1968,824,496.83,26%,24%,1m 21s,Mobile,Firefox,1,5
2022-04-18,brightedge,none,organic,62.61,7626,2523,293,239.59,16%,25%,9m 20s,Desktop,Safari,2,3
2021-05-17,enterprisemarketingportal,paid,direct,58.6,5775,2878,246,785.34,16%,8%,5m 47s,Desktop,Safari,4,3
2023-02-21,google,organic,referral,74.13,6536,2395,338,493.81,4%,6%,4m 52s,Desktop,Safari,3,5
2021-08-13,enterprisemarketingportal,referral,referral,95.43,2543,6181,814,660.06,27%,15%,5m 58s,Mobile,Chrome,4,3
2022-06-28,brightedge,referral,referral,15.28,7323,2163,502,623.25,14%,15%,2m 10s,Desktop,Firefox,4,5
2021-12-18,google,paid,referral,74.81,8191,3978,476,445.18,7%,9%,6m 30s,Mobile,Chrome,2,5
2022-07-21,enterprisemarketingportal,organic,direct,4.32,7302,6963,875,305.64,5%,16%,7m 57s,Desktop,Safari,5,3
2023-06-16,brightedge,paid,direct,22.56,7761,6017,266,21.21,15%,21%,6m 45s,Desktop,Firefox,2,4
2023-06-26,brightedge,organic,chrome_launch_switch,95.38,5337,3578,251,555.03,2%,5%,7m 31s,Mobile,Chrome,5,3
2023-12-10,enterprisemarketingportal,referral,direct,43.08,1548,8719,729,401.83,27%,25%,4m 22s,Mobile,Safari,2,4
2022-01-21,enterprisemarketingportal,none,direct,58.86,843,3761,73,961.14,10%,17%,8m 27s,Mobile,Chrome,3,5
2023-03-01,enterprisemarketingportal,referral,referral,37.56,9886,615,339,695.13,17%,21%,6m 51s,Desktop,Chrome,3,4
2023-12-31,referral,referral,organic,85.81,3307,4015,850,480.52,9%,11%,6m 15s,Desktop,Firefox,3,4
2021-06-15,enterprisemarketingportal,paid,direct,51.25,1985,1069,697,41.45,21%,23%,6m 58s,Mobile,Firefox,4,5
2023-01-05,google,paid,direct,42.15,2574,6625,259,344.14,30%,10%,9m 30s,Mobile,Firefox,3,5
2023-11-23,brightedge,organic,organic,24.64,7121,4802,897,790.66,4%,5%,5m 36s,Mobile,Chrome,3,5
2021-04-07,google,referral,organic,26.99,3079,7543,952,308.92,8%,23%,9m 19s,Desktop,Firefox,3,5
2021-10-29,brightedge,organic,chrome_launch_switch,94.18,3803,2689,632,3.1,10%,7%,8m 42s,Desktop,Chrome,3,3
2023-05-26,google,organic,referral,8.45,7104,2058,477,279.34,10%,5%,3m 1s,Desktop,Chrome,5,5
2022-11-19,google,organic,referral,15.84,7897,5782,404,272.29,20%,10%,10m 50s,Desktop,Safari,2,5
2021-02-19,enterprisemarketingportal,organic,referral,72.19,2197,7019,644,684.72,20%,24%,6m 14s,Mobile,Firefox,3,3
2022-10-03,referral,paid,direct,85.61,4166,8473,510,224.58,15%,8%,10m 57s,Desktop,Safari,2,5
2022-04-19,google,organic,direct,11.71,6582,8199,79,324.89,16%,6%,9m 29s,Mobile,Chrome,2,5
2024-01-06,referral,organic,direct,11.43,2308,3735,966,794.41,22%,6%,7m 14s,Mobile,Firefox,4,3
2022-06-26,google,referral,referral,4.37,5615,145,896,523.83,28%,12%,10m 51s,Desktop,Chrome,5,4
2022-12-16,google,referral,organic,50.7,3640,5032,841,848.45,7%,11%,8m 41s,Desktop,Chrome,4,4
2023-02-27,google,referral,referral,87.16,1976,5885,209,444.97,15%,24%,4m 21s,Desktop,Chrome,1,5
2021-08-13,brightedge,referral,direct,60.72,7534,2068,868,126.8,18%,23%,3m 23s,Mobile,Chrome,2,3
2023-05-03,google,organic,direct,5.31,4921,4222,957,423.83,1%,24%,4m 52s,Mobile,Chrome,5,3
2021-11-22,referral,referral,organic,34.89,6134,3782,674,229.68,23%,18%,1m 37s,Mobile,Firefox,5,5
2022-12-01,referral,none,referral,54.77,6206,5784,264,542.07,2%,25%,1m 49s,Mobile,Safari,5,3
2021-08-31,brightedge,none,organic,2.24,785,3638,334,123.89,24%,17%,3m 56s,Desktop,Safari,2,4
2023-04-14,google,organic,chrome_launch_switch,74.19,8777,549,142,602.75,28%,23%,9m 47s,Desktop,Chrome,1,5
2021-07-31,referral,paid,direct,93.64,9599,2135,499,624.91,11%,24%,7m 7s,Desktop,Chrome,4,4
2021-09-20,google,organic,chrome_launch_switch,85.78,6400,2732,513,306.09,18%,15%,7m 25s,Mobile,Firefox,1,4
2022-10-14,enterprisemarketingportal,organic,referral,14.1,2052,1731,966,309.65,9%,21%,5m 56s,Desktop,Chrome,5,4
2023-08-28,brightedge,none,referral,18.25,2035,4836,525,4.8,4%,14%,10m 44s,Desktop,Chrome,5,5
2022-01-31,enterprisemarketingportal,referral,referral,85.47,5442,1617,588,15.92,7%,25%,9m 4s,Mobile,Safari,2,4
2023-10-10,brightedge,paid,direct,17.12,7240,802,138,447.52,26%,6%,10m 37s,Mobile,Chrome,4,3
2023-02-08,google,none,organic,64.41,6653,8454,904,800.49,19%,14%,7m 13s,Mobile,Firefox,1,5
2021-03-16,enterprisemarketingportal,organic,organic,10.75,9151,5778,925,627.92,6%,19%,2m 32s,Desktop,Safari,4,5
2023-09-09,brightedge,none,referral,88.39,1515,1024,309,742.72,16%,6%,6m 47s,Mobile,Chrome,1,3
2022-08-11,brightedge,paid,direct,49.71,4269,1457,650,876.95,6%,12%,9m 41s,Mobile,Safari,1,4
2022-12-05,google,paid,chrome_launch_switch,28.8,3093,1320,575,254.23,16%,21%,7m 31s,Mobile,Chrome,5,3
2021-09-27,referral,referral,direct,7.82,8682,4521,178,455.73,27%,19%,5m 37s,Mobile,Chrome,5,5
2023-08-13,referral,organic,organic,69.35,2074,1983,746,159.3,21%,22%,1m 46s,Desktop,Firefox,4,4
2023-10-06,google,none,referral,76.93,98,8412,617,276.7,6%,8%,10m 16s,Desktop,Firefox,4,4
2021-09-19,referral,referral,organic,12.93,9550,5341,992,528.66,16%,9%,7m 9s,Desktop,Safari,5,4
2023-09-24,google,paid,referral,74.29,4084,1201,825,707.55,22%,23%,2m 17s,Desktop,Firefox,1,5
2023-12-28,brightedge,organic,direct,94.84,9000,8385,43,545.9,12%,20%,8m 39s,Mobile,Safari,1,5
2022-02-09,google,none,direct,8.94,5715,320,348,675.48,24%,22%,6m 9s,Mobile,Firefox,5,5
2021-11-16,google,referral,direct,88.35,2820,736,869,118.41,22%,22%,9m 26s,Mobile,Chrome,1,5
2023-01-09,google,referral,chrome_launch_switch,29.77,2774,4502,636,384.97,10%,6%,9m 43s,Desktop,Chrome,4,4
2022-05-07,brightedge,organic,chrome_launch_switch,43.7,5366,3131,368,954.44,22%,25%,6m 53s,Desktop,Safari,2,3
2021-10-23,google,organic,chrome_launch_switch,4.9,3014,7745,847,678.25,20%,5%,5m 51s,Desktop,Chrome,3,3
2023-08-07,brightedge,referral,direct,22.81,5177,4060,629,660.82,17%,12%,10m 1s,Desktop,Safari,5,3
2021-10-15,enterprisemarketingportal,organic,organic,54.49,3174,4616,583,862.93,3%,14%,6m 42s,Mobile,Chrome,5,3
2022-11-19,enterprisemarketingportal,paid,direct,92.81,448,4756,670,12.5,9%,7%,1m 34s,Desktop,Chrome,3,4
2022-09-18,referral,organic,organic,84.53,9092,8727,298,909.49,13%,20%,2m 26s,Desktop,Firefox,3,3
2021-12-04,brightedge,organic,referral,66.23,6905,1765,332,612.86,7%,7%,5m 18s,Mobile,Firefox,2,4
2023-03-25,google,organic,direct,79.28,4328,1681,484,577.42,12%,17%,10m 53s,Mobile,Safari,4,3
2022-05-09,enterprisemarketingportal,none,chrome_launch_switch,12.26,8379,7963,697,255.13,7%,21%,10m 28s,Mobile,Chrome,4,5
2023-09-02,google,paid,organic,63.65,7428,6812,469,860.74,18%,23%,2m 30s,Desktop,Firefox,4,4
2023-06-22,google,paid,chrome_launch_switch,65.09,1397,2790,371,853.7,27%,11%,3m 53s,Desktop,Safari,5,5
2021-08-31,brightedge,referral,chrome_launch_switch,35.28,7783,2453,829,514.43,7%,11%,5m 8s,Mobile,Safari,1,3
2023-01-07,brightedge,none,chrome_launch_switch,43.38,4851,856,1000,496.02,1%,21%,1m 27s,Mobile,Firefox,2,5
2022-09-04,referral,paid,organic,97.62,1260,8552,580,843.34,10%,15%,8m 13s,Desktop,Chrome,3,3
2021-09-28,brightedge,none,direct,90.31,2697,4273,423,776.65,12%,9%,9m 33s,Desktop,Chrome,2,4
2021-06-21,google,organic,direct,35.78,575,7148,801,206.63,28%,11%,2m 24s,Mobile,Firefox,2,4
2022-07-30,referral,referral,chrome_launch_switch,96.21,6547,3796,857,27.12,15%,19%,8m 59s,Desktop,Chrome,5,3
2021-07-30,enterprisemarketingportal,organic,referral,78.45,8018,3964,544,358.1,4%,18%,2m 42s,Desktop,Chrome,5,4
2023-08-06,google,none,referral,88.26,7878,1179,871,944.33,1%,9%,4m 51s,Mobile,Safari,2,5
2023-03-24,brightedge,organic,organic,90.28,9825,1834,15,385.75,29%,17%,2m 22s,Mobile,Safari,2,4
2021-07-14,google,paid,chrome_launch_switch,49.42,4513,7713,758,469.31,12%,10%,2m 41s,Desktop,Chrome,2,3
2021-07-02,enterprisemarketingportal,referral,organic,14.12,8215,7769,819,752.04,15%,23%,5m 35s,Mobile,Chrome,4,3
2021-06-04,referral,none,organic,5.37,9996,4643,844,228.93,11%,21%,10m 44s,Desktop,Firefox,1,3
2022-01-18,brightedge,paid,direct,75.36,7994,6736,371,425.97,30%,10%,5m 29s,Desktop,Firefox,3,5
2023-03-24,brightedge,none,direct,87.52,1554,5947,978,874.72,22%,24%,8m 7s,Mobile,Safari,1,5
2023-04-22,google,organic,chrome_launch_switch,19.21,9750,8359,892,612.69,13%,20%,10m 53s,Mobile,Chrome,5,3
2022-02-22,enterprisemarketingportal,paid,organic,18.58,3911,2875,54,287.78,19%,10%,9m 33s,Desktop,Safari,4,3
2021-03-22,referral,referral,organic,69.17,1919,7633,237,552.67,5%,10%,9m 14s,Mobile,Chrome,2,5
2021-05-09,brightedge,paid,chrome_launch_switch,10.62,503,4571,800,194.63,16%,8%,9m 9s,Desktop,Chrome,5,4
2021-04-05,brightedge,paid,organic,22.09,8664,6049,651,637.03,21%,11%,7m 23s,Desktop,Firefox,3,3
2022-06-29,brightedge,none,organic,14.02,2908,1033,634,963.78,25%,8%,5m 57s,Mobile,Chrome,3,4
2022-08-12,google,paid,chrome_launch_switch,81.98,3778,8974,806,734.01,6%,10%,6m 21s,Desktop,Firefox,1,3
2021-05-14,enterprisemarketingportal,organic,chrome_launch_switch,57.68,8463,4177,400,382.91,29%,18%,9m 33s,Desktop,Safari,1,4
2022-04-23,google,paid,direct,45.51,2625,6547,242,407.44,28%,12%,1m 20s,Mobile,Chrome,2,5
2022-10-11,enterprisemarketingportal,paid,direct,19.58,9103,2837,286,800.63,7%,23%,2m 14s,Desktop,Safari,5,4
2022-01-10,referral,paid,chrome_launch_switch,12.1,9912,1557,108,674.94,9%,20%,1m 32s,Desktop,Safari,4,5
2021-03-11,google,none,chrome_launch_switch,32.59,6661,5423,881,6.61,17%,10%,8m 43s,Mobile,Safari,3,4
2022-05-23,referral,paid,referral,61.13,7507,1635,243,370.28,18%,8%,6m 32s,Desktop,Firefox,2,5
2022-03-08,google,paid,direct,18.34,3889,4515,406,860.3,21%,19%,4m 28s,Desktop,Firefox,1,5
2022-09-10,brightedge,none,referral,93.3,5747,782,561,147.82,18%,15%,1m 47s,Mobile,Safari,1,4
2021-05-09,google,paid,direct,73.28,6761,1528,208,944.48,13%,9%,9m 43s,Mobile,Safari,3,5
2022-02-06,referral,paid,organic,34.18,4390,2394,125,222.11,25%,5%,3m 59s,Mobile,Chrome,4,5
2023-04-17,google,organic,organic,94.47,8331,4386,100,513.22,26%,7%,9m 44s,Desktop,Chrome,2,4
2022-10-17,brightedge,paid,direct,47.08,8817,3755,32,70.28,26%,17%,6m 50s,Mobile,Firefox,1,4
2022-07-15,brightedge,paid,referral,65.75,2474,3322,231,734.49,1%,7%,6m 1s,Desktop,Firefox,5,4
2021-06-06,enterprisemarketingportal,paid,referral,13.27,5630,6761,462,777.55,9%,23%,2m 18s,Desktop,Safari,4,5
2021-11-19,google,paid,direct,62.59,8309,871,772,913.08,28%,24%,9m 8s,Desktop,Safari,4,4
2022-05-13,google,organic,referral,2.7,5873,3636,49,934.4,22%,25%,7m 47s,Mobile,Chrome,2,4
2024-01-07,enterprisemarketingportal,none,direct,47.46,6486,2122,122,773.39,27%,9%,10m 14s,Mobile,Chrome,5,4
2023-10-18,enterprisemarketingportal,paid,chrome_launch_switch,24.35,5897,6905,137,8.69,16%,10%,10m 41s,Desktop,Firefox,5,3
2023-03-19,enterprisemarketingportal,paid,direct,83.59,8053,8720,586,49.87,6%,18%,10m 30s,Mobile,Firefox,5,3
2022-11-21,google,referral,organic,87.06,3036,4684,846,665.71,26%,13%,9m 50s,Mobile,Safari,3,5
2021-01-20,google,organic,referral,64.49,6318,2434,445,120.55,17%,8%,3m 15s,Mobile,Chrome,5,3
2021-09-27,referral,none,organic,34.82,4778,8844,552,853.36,25%,6%,2m 6s,Mobile,Firefox,5,3
2022-09-11,referral,organic,direct,58.42,8285,2710,636,620.57,13%,15%,10m 12s,Desktop,Firefox,3,4
2021-08-31,brightedge,organic,chrome_launch_switch,72.89,4133,2620,927,924.32,7%,11%,4m 10s,Mobile,Firefox,3,3
2022-09-13,brightedge,organic,referral,26.55,8069,6278,879,848.64,23%,17%,5m 56s,Desktop,Safari,3,3
2021-06-26,google,referral,organic,97.22,4000,4703,599,974.04,28%,11%,7m 58s,Mobile,Chrome,5,3
2023-10-02,brightedge,paid,direct,78.43,5984,6326,326,697.72,13%,5%,10m 15s,Mobile,Firefox,1,4
2023-11-01,google,none,organic,60.13,9835,461,253,125.58,7%,7%,5m 47s,Desktop,Safari,3,4
2022-03-06,brightedge,referral,direct,16.67,8788,1140,106,295.19,9%,11%,1m 29s,Desktop,Firefox,3,5
2023-02-22,enterprisemarketingportal,referral,organic,16.22,3969,7140,12,558.67,4%,16%,2m 36s,Desktop,Firefox,2,4
2022-03-27,brightedge,paid,referral,97.42,1899,2580,534,523.89,3%,5%,2m 39s,Mobile,Chrome,1,3
2022-01-31,referral,referral,chrome_launch_switch,91.83,9790,5127,111,330.0,12%,21%,10m 58s,Mobile,Safari,5,5
2022-12-13,referral,organic,direct,18.8,3409,2441,3,228.13,20%,25%,9m 9s,Mobile,Safari,2,5
2021-07-20,enterprisemarketingportal,organic,direct,74.12,3599,3521,453,219.21,14%,5%,1m 34s,Desktop,Firefox,1,5
2024-01-17,enterprisemarketingportal,none,direct,63.84,6490,730,73,701.84,13%,16%,1m 22s,Desktop,Firefox,5,5
2021-12-25,enterprisemarketingportal,paid,chrome_launch_switch,45.72,6911,2651,187,816.1,10%,20%,2m 3s,Desktop,Safari,2,5
2022-12-10,enterprisemarketingportal,referral,direct,44.71,6319,6450,618,28.41,12%,9%,8m 54s,Mobile,Safari,4,5
2021-10-05,referral,referral,organic,85.19,4434,7749,858,823.55,17%,10%,10m 33s,Mobile,Firefox,1,4
2023-09-03,brightedge,none,organic,9.88,7964,3197,464,261.05,13%,15%,10m 15s,Mobile,Firefox,2,4
2021-08-18,referral,organic,organic,28.1,8500,1407,516,374.53,19%,10%,2m 7s,Desktop,Safari,5,3
2022-01-04,referral,organic,chrome_launch_switch,12.71,9142,6729,902,390.66,4%,8%,3m 3s,Mobile,Safari,3,4
2021-02-09,referral,paid,referral,86.55,154,4665,117,120.91,9%,17%,3m 16s,Mobile,Firefox,2,5
2022-06-05,referral,paid,direct,78.96,1100,4195,961,705.81,7%,25%,9m 30s,Mobile,Firefox,3,3
2021-08-18,referral,referral,direct,88.61,9055,4865,516,878.11,27%,10%,2m 57s,Desktop,Safari,3,5
2022-08-15,brightedge,referral,referral,27.46,7977,1023,815,391.82,21%,5%,9m 9s,Desktop,Chrome,4,5
2023-12-08,referral,referral,referral,62.38,5804,1132,976,338.2,17%,20%,10m 39s,Mobile,Safari,3,4
2022-08-12,brightedge,paid,direct,94.3,7245,1447,390,659.25,23%,6%,7m 32s,Desktop,Chrome,1,3
2021-04-12,referral,organic,organic,22.32,9779,761,416,949.09,15%,22%,7m 7s,Desktop,Firefox,4,3
2021-12-26,google,organic,referral,33.26,3692,2248,504,609.47,16%,25%,4m 31s,Mobile,Firefox,4,4
2023-02-20,referral,none,direct,57.97,6962,8586,821,135.29,27%,15%,6m 49s,Desktop,Safari,4,3
2022-10-02,enterprisemarketingportal,none,organic,31.74,5204,526,364,744.41,21%,19%,5m 20s,Mobile,Safari,4,4
2023-12-03,google,organic,direct,18.63,4330,5996,210,574.39,2%,23%,9m 2s,Desktop,Chrome,2,3
2023-03-29,brightedge,none,chrome_launch_switch,32.63,2464,6893,551,540.04,3%,5%,9m 23s,Desktop,Chrome,5,3
2022-03-23,referral,none,direct,57.31,5801,5131,974,409.91,28%,15%,7m 30s,Mobile,Safari,1,3
2021-09-17,brightedge,paid,direct,52.88,6649,8466,92,881.07,1%,18%,2m 7s,Mobile,Chrome,1,3
2021-10-22,brightedge,paid,chrome_launch_switch,90.56,3354,6817,149,484.2,27%,16%,9m 17s,Mobile,Safari,3,4
2022-10-03,google,referral,direct,77.4,3287,3641,533,289.18,21%,18%,8m 28s,Mobile,Safari,4,4
2022-11-03,enterprisemarketingportal,none,organic,94.1,7753,8042,872,682.63,15%,5%,8m 57s,Desktop,Chrome,2,4
2021-10-04,enterprisemarketingportal,referral,direct,31.07,2768,780,771,558.97,22%,14%,10m 28s,Desktop,Firefox,5,3
2021-10-05,brightedge,organic,organic,42.46,8472,3921,561,809.29,10%,8%,6m 21s,Desktop,Safari,3,3
2021-05-10,google,organic,referral,44.21,8216,2800,639,182.3,7%,7%,9m 5s,Desktop,Chrome,4,5
2022-12-08,brightedge,organic,chrome_launch_switch,31.92,8578,748,550,407.09,6%,24%,10m 40s,Desktop,Firefox,4,5
2022-10-08,brightedge,referral,chrome_launch_switch,18.4,7961,2012,523,339.73,17%,18%,1m 28s,Mobile,Safari,1,4
2022-02-11,referral,none,direct,55.76,3441,8661,856,79.19,3%,18%,9m 27s,Mobile,Safari,4,5
2023-12-03,google,paid,organic,81.82,3414,1376,947,380.49,24%,20%,5m 14s,Desktop,Chrome,4,5
2023-03-13,google,organic,organic,22.0,7703,3986,945,758.7,20%,14%,8m 25s,Desktop,Safari,3,4
2021-05-26,brightedge,paid,chrome_launch_switch,15.78,7485,2307,424,470.62,25%,13%,9m 48s,Desktop,Safari,1,3
2021-02-15,google,organic,direct,28.03,7875,7395,115,684.28,11%,12%,10m 52s,Desktop,Chrome,5,3
2023-01-30,referral,none,direct,40.59,9399,4279,886,455.37,18%,19%,2m 16s,Desktop,Firefox,5,5
